Alba,66487197.3
Arad,449972304.93999994
Arges,224491727.61999997
Bacau,364091928.99999994
Bihor,861446383.3499998
Bistrita-Nasaud,287996377.48
Botosani,181409392.83000004
Braila,231195170.88
Brasov,265796938.28
Bucuresti,26724505673.080013
Buzau,277190152.3
Calarasi,113858578.11000003
Caras-Severin,121507002.38
Cluj,1577949340.48
Constanta,844797243.5500001
Covasna,34707460.18000001
Dambovita,198464838.04999998
Dolj,1604141430.6599996
Galati,407157591.5599999
Giurgiu,26651660.3
Gorj,1089872586.050001
Harghita,104993442.19000003
Hunedoara,593728197.9
Ialomita,134665994.55
Iasi,1054595010.3900002
Ilfov,479284091.46999997
Maramures,663215898.2199999
Mehedinti,227331423.33
Mures,1501250488.58
Neamt,175518066.69000003
Olt,219533490.44000006
Prahova,636228545.87
Salaj,36189138.940000005
Satu Mare,677308650.3000001
Sibiu,1187351327.9499998
Suceava,313445272.0
Teleorman,220764725.13000003
Timis,957897831.3299998
Tulcea,188471674.55999997
Valcea,601488665.0600001
Vaslui,273094849.36
Vrancea,181641414.22000003
